guten_bid,guten_bname,guten_blan,guten_aid,guten_aname,guten_aalias,good_isbn,good_series,good_lan,good_author_id,good_bid,good_workid,good_title,good_title_without_series,good_aname,good_original_title,good_title_list,guten_bname_list,new_match_good,new_match_guten
3,John F. Kennedy's Inaugural Address,en,18761,"Kennedy, John F. (John Fitzgerald)","['Kennedy, Jack', 'United States President (1961-1963)', 'Kennedy, John Fitzgerald']",0670013242,['798102'],,3047,9542963,14429330,John F. Kennedy: The Inaugural Address,John F. Kennedy: The Inaugural Address,John F. Kennedy,,"['john', 'f', 'kennedy', 'inaugural', 'address']","['john', 'f', 'kennedy', 'inaugural', 'address']",[9542963],[3]
6,Give Me Liberty or Give Me Death,en,12897,"Henry, Patrick",[],,[],,361839,11842413,5931425,Give Me Liberty Or Give Me Death,Give Me Liberty Or Give Me Death,Patrick Henry,Give Me Liberty Or Give Me Death,"['give', 'liberty', 'give', 'death']","['give', 'liberty', 'give', 'death']","[11057474, 11842413]","[20046, 6]"
8,Abraham Lincoln's Second Inaugural Address,en,4220,"Lincoln, Abraham","['Lincoln, Abe', 'United States President (1861-1865)']",,[],eng,229,18996330,27017979,Abraham Lincoln's Second Inaugural Address,Abraham Lincoln's Second Inaugural Address,Abraham Lincoln,,"['abraham', 'lincoln', 'second', 'inaugural', 'address']","['abraham', 'lincoln', 'second', 'inaugural', 'address']",[18996330],[8]
11,Alice's Adventures in Wonderland,en,2032,"Carroll, Lewis","['Dodgson, Charles Lutwidge']",0907785727,['1029237'],eng,8164,836116,55548884,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland,Lewis Carroll,Alice in Wonderland,"['alice', 'adventure', 'wonderland']","['alice', 'adventure', 'wonderland']","[1733641, 108047, 836116, 34703893, 7850007, 3840033, 16124967, 13453307, 6810683, 4705851, 445501, 6931520, 11605056, 24088137, 19342926, 6096980, 20451932, 7629918, 13555295, 12490848, 25506918, 19369576, 19219049, 18877545, 24853097, 25541736, 15834741, 5544054, 680579, 28540044, 88205, 15769232, 24214, 9805464, 24221, 3306653, 29373088, 23239844, 18681509, 7787173, 18679467, 24092339, 7506613, 27134133, 2191544, 19588798, 780480, 54470, 11253959, 29337291, 25796302, 5533906, 7754965, 22818517, 13543134, 29056737, 34616546, 13027, 3294438, 6308590, 2750703, 6303982, 14811383, 27580664, 741624, 1986297, 18307325, 28087040, 9135876, 21853446, 10595595, 24874252, 6948108, 16046860, 15950607, 30630672, 15986960, 7973649, 23124758, 21812509, 17188135, 28928809, 30073135, 70453, 8650047, 2568513, 37700, 37702, 1440071, 2906443, 25013584, 23001435, 23206236, 820578, 1844066, 24397163, 25682796, 588652, 8498033, 1073524, 6105976, 4927865, 6324090, 18001787, 219512, 11946360, 12651390, 29873536, 12594563, 694149, 21486471, 6326152, 29346697, 1073544, 9896336, 27038609, 27038610, 31015318, 28442007, 28279705, 318874, 25674658, 12408740, 7303077, 10680743, 12052399, 19839412, 15844279, 11439031, 7452603, 2038717, 22491070, 10372031, 23283649, 2809797, 26331594, 1898443, 13664722, 22946262, 27286491, 807901, 18625502, 853469, 23378912, 33808870, 1564648, 20366825, 12696555, 20280299, 22944237, 24611820, 6748139, 18163696, 6799860, 35105269, 21233144, 842235, 108029]","[19033, 11, 23716, 19573]"
12,Through the Looking-Glass,en,2032,"Carroll, Lewis","['Dodgson, Charles Lutwidge']",1419190040,['1070240'],,8164,108014,45962572,Through the Looking Glass,Through the Looking Glass,Lewis Carroll,"Through the Looking-Glass, and What Alice Found There","['looking', 'glass']","['looking', 'glass']","[636417, 8570121, 3372426, 804235, 14575372, 18934673, 17236252, 24951965, 10198941, 7703967, 16097317, 15985831, 20827561, 33797050, 19474758, 7212624, 33384786, 181333, 23179613, 17198179, 24110437, 820589, 108014, 12775023, 23324021, 8137463, 24035578]","[12, 23718]"
13,The Hunting of the Snark: An Agony in Eight Fits,en,2032,"Carroll, Lewis","['Dodgson, Charles Lutwidge']",0712358137,[],,8164,9334678,813571,The Hunting of the Snark: An Agony in Eight Fits,The Hunting of the Snark: An Agony in Eight Fits,Lewis Carroll,The Hunting of the Snark,"['hunting', 'snark', 'agony', 'eight', 'fits']","['hunting', 'snark', 'agony', 'eight', 'fits']","[11561867, 13414892, 5076653, 34854288, 7747249, 9334678]","[29888, 13]"
15,Moby Dick,en,371,"Melville, Herman","['Melville, Hermann']",0230026877,[],eng,1624,18334397,2409320,Moby Dick,Moby Dick,Herman Melville,"Moby Dick; or, The Whale","['moby', 'dick']","['moby', 'dick']","[78851, 28352517, 7006215, 3291658, 23451659, 6112271, 12960277, 17303575, 10685464, 10349088, 22781989, 15999015, 2294321, 35432499, 8913463, 16006715, 77373, 674366, 18046529, 6619208, 6619211, 14728268, 18712147, 35879513, 65631, 15810146, 6341731, 8196208, 590963, 14513267, 20822136, 11221124, 3982986, 336531, 13347987, 6740634, 28260515, 7845, 7846, 7847, 927911, 18334397, 1316548, 7422149, 21925574, 15709389, 2670292, 3620070, 9694968, 13506809, 296698, 1393921, 5184260, 782597, 9170704, 6760210, 406293, 823574, 823573, 823576, 18406685, 8649502, 28535610, 422205, 776511, 383808, 9242961, 2386, 2387, 2389, 2390, 970583, 2392, 402777, 387418, 2314587, 13262690, 1689450, 1444203, 23790442, 1012589, 8131438, 27742061, 3267441, 32672116, 30301049, 9351546, 235897, 2402172, 7068032, 24661895, 424840, 16062360, 90520, 2402202, 2204572, 13514144, 2402209, 2402213, 2402216, 5966248, 22456748, 3311021, 24650157, 3415985, 24853427, 17448371, 3167669, 3167670, 1283510, 10228671, 804300, 10886606, 28799442, 7216096, 616931, 25349606, 75242, 16166383, 9105908, 9275902]","[9147, 15]"
16,Peter Pan,en,3665,"Barrie, J. M. (James Matthew)","['Barrie, James Matthew', 'Barrie, J.M.']",0613869648,[],,5255014,1386631,1358908,Peter Pan,Peter Pan,J.M. Barrie,Peter Pan,"['peter', 'pan']","['peter', 'pan']","[12826628, 2888203, 384525, 13135891, 25831956, 587293, 13321763, 1655334, 1220136, 219182, 23789616, 2212913, 24511539, 1012276, 3259956, 23598656, 5614144, 1950282, 8789586, 24288863, 6994017, 1628260, 6739048, 22676088, 7005819, 8695419, 12717183, 1386631, 24274594, 17292963, 30128294, 1468077, 6629550, 15796917, 3398328, 683705, 9509565, 562878, 1468094, 11716296, 3940051, 1468117, 1755870, 15815906, 858339, 858340, 16233191, 25410793, 1468138, 5406958, 23473391, 13506803, 153849, 153850, 16101115, 920830, 38672, 38675, 38678, 20926233, 13014810, 5579034, 23168286, 1558824, 8605996, 22591278, 1497396, 9735478, 28541244, 7092030, 1499469, 15719760, 8484186, 20949339, 18931551, 18241379, 23215466, 10756459, 39281, 199026, 1513331, 199027, 26460018, 7197554, 14802299, 3104648, 398218, 5561738, 20354957, 15945614, 700817, 28107674, 30261163, 2463149, 17302963, 2830772, 24852917, 13545911, 6071737, 7493566, 22784968, 1793994, 19254741, 30170069, 1098714, 34268, 24853980, 4907998, 7253983, 14058979, 7005674, 18211323, 25782783]","[16, 22984]"
19,The Song of Hiawatha,en,787,"Longfellow, Henry Wadsworth",[],1595400354,[],,2697,780875,2783902,The Song of Hiawatha,The Song of Hiawatha,Henry Wadsworth Longfellow,The Song of Hiawatha,"['song', 'hiawatha']","['song', 'hiawatha']","[11801411, 780875, 17840333, 4017310]",[19]
20,Paradise Lost,en,2075,"Milton, John",[],1596442441,['465549'],eng,9876,193601,1031493,Paradise Lost,Paradise Lost,John Milton,Paradise Lost,"['paradise', 'lost']","['paradise', 'lost']","[16004, 16005, 13455114, 439572, 421012, 175252, 4293527, 175253, 3582490, 17912352, 27034149, 30748454, 11058727, 15990693, 2986923, 937259, 8467502, 3231163, 6608445, 30245821, 12420413, 193601, 474434, 284227, 24966727, 338632, 594253, 4943703, 19290, 20525403, 16605, 106718, 16607, 2145903, 29363959, 15997]","[26, 20]"
21,"Aesop's Fables
Translated by George Fyler Townsend",en,216,Aesop,['Æsop'],,[],eng,12452,29007653,868263,Aesop's Fables : Translated by George Fyler Townsend,Aesop's Fables : Translated by George Fyler Townsend,Aesop,Aesopica,"['aesop', 'fables', 'translated', 'george', 'fyler', 'townsend']","['aesop', 'fables', 'translated', 'george', 'fyler', 'townsend']",[29007653],[21]
23,"Narrative of the Life of Frederick Douglass, an American Slave",en,1171,"Douglass, Frederick","['Bailey, Frederick Augustus Washington', 'Baly, Frederick Augustus Washington']",0131166158,['555116'],eng,18943,132596,1990110,Narrative Of The Life Of Frederick Douglas: An American Slave,Narrative Of The Life Of Frederick Douglas: An American Slave,Frederick Douglass,Narrative of the Life of Frederick Douglass,"['narrative', 'life', 'frederick', 'douglas', 'american', 'slave']","['narrative', 'life', 'frederick', 'douglass', 'american', 'slave']","[120449, 6526854, 1038089, 124172, 23507985, 124180, 616862, 6064802, 18214187, 15790638, 36532, 20821432, 91587, 1153611, 762571, 510540, 23655894, 5829081, 23182190, 10989169, 132596]",[23]
24,O Pioneers!,en,588,"Cather, Willa","['Catherova, Willa', 'Cather, Wilella', 'Cather, Willa Sibert', 'Catherová, Willa']",0307700917,['422863'],,881203,10887641,467254,O Pioneers!,O Pioneers!,Willa Cather,O Pioneers!,['pioneers'],['pioneers'],"[2240258, 7172610, 2971147, 19511052, 8767631, 870549, 5649687, 18105752, 17731866, 22058652, 9792926, 6550945, 140963, 3619366, 6017200, 17907255, 1291964, 1192127, 2347075, 2347076, 998339, 2340555, 13558603, 1377101, 763470, 6690136, 10887641, 3160160, 8130786, 530788, 741607, 77931, 9403116, 200812, 839660, 25403893]","[24, 34661, 22448]"
27,Far from the Madding Crowd,en,471,"Hardy, Thomas",[],0863076653,[],eng,15905,1068963,914540,Far from the Madding Crowd,Far from the Madding Crowd,Thomas Hardy,Far from the Madding Crowd,"['far', 'madding', 'crowd']","['far', 'madding', 'crowd']","[7187968, 17734145, 1478661, 23016459, 7841820, 23492139, 9846835, 2932281, 22031425, 25483331, 22944345, 3160169, 2799740, 22308993, 22897294, 16156303, 14800528, 764560, 35186831, 22394005, 28511394, 18306727, 25109681, 18337466, 9962685, 36122822, 2636999, 8153801, 8153802, 22812878, 920272, 1991889, 23967444, 2408149, 17947866, 25581788, 467169, 22551780, 9687782, 31463, 31462, 31465, 31466, 31464, 31468, 22934767, 14601457, 33013, 3320059, 929547, 499469, 2014997, 20868885, 4189976, 12954919, 35038513, 21422902, 6386488, 3427129, 22471998, 7142723, 10756933, 9822025, 795471, 1109358, 12367736, 25801630, 1068963, 25267631, 24756147, 11872188, 16129984, 4947910, 1396166, 380360, 10852299, 16110043, 23418334, 3155426, 210410, 22669805, 1291760, 25491442]","[27, 9417, 107]"
28,Aesop's Fables,en,216,Aesop,['Æsop'],1435136306,[],,12452,17352566,868263,Aesops Fables,Aesops Fables,Aesop,Aesopica,"['aesops', 'fables']","['aesop', 'fables']","[8193024, 6376577, 35853700, 9741828, 9458700, 12435598, 23249682, 11488403, 33855763, 17281171, 580118, 10215957, 176921, 15729051, 12874271, 175265, 10115875, 9745957, 882986, 10786602, 2612397, 20781, 8873903, 1576368, 986801, 8869170, 36303793, 19508404, 26202934, 6716344, 1576377, 9292986, 23400889, 7694907, 17557944, 17207358, 20947401, 17878219, 11052237, 1217489, 21331, 15413588, 23203925, 34224086, 11559509, 5271379, 1556441, 2621019, 478814, 21348, 13312229, 20505317, 16101097, 5771754, 11827052, 6104428, 9404276, 22676085, 17352566, 6581239, 219517, 907390, 8864511]","[8809, 28]"
32,Herland,en,8255,"Gilman, Charlotte Perkins","['Perkins, Charlotte Anna', 'Stetson, Charlotte Perkins']",0486404293,['781471'],,29527,752984,83484,Herland,Herland,Charlotte Perkins Gilman,Herland,['herland'],['herland'],"[23398433, 9699555, 1596708, 86501, 18285990, 16106694, 36388620, 11000622, 2519928, 8217237, 531509, 752984, 8371708, 29085693, 9175262, 19303391]",[32]
33,The Scarlet Letter,en,1101,"Hawthorne, Nathaniel",[],,[],,7799,6474485,4925227,The Scarlet Letter,The Scarlet Letter,Nathaniel Hawthorne,The Scarlet Letter,"['scarlet', 'letter']","['scarlet', 'letter']","[10455046, 12296, 12297, 12299, 6985739, 12301, 12303, 30756367, 20005908, 786968, 5092893, 786974, 504350, 7164448, 786983, 13637161, 1638957, 2737199, 6757937, 16166961, 19660859, 25930305, 8941122, 2822723, 13621320, 9586251, 26095184, 4928082, 1903699, 6505055, 606823, 15834218, 12639855, 7546992, 7741041, 927864, 1111673, 1056888, 1056889, 1056890, 10232955, 30527619, 22676100, 25902725, 454812, 454813, 6459039, 18589856, 18659489, 23788711, 21857448, 3194537, 11502257, 10561715, 440500, 440501, 317624, 6751417, 24075964, 25014465, 877763, 102603, 16370382, 2021079, 10228954, 1674462, 1144034, 33878243, 20362979, 13393914, 2135783, 6474485, 2248953, 28142845, 24546559, 22428932, 6295308, 33387281, 6193937, 35883283, 474901, 752927, 5969695, 11284267, 104240, 4417332, 22028598, 2354487, 34905404, 4632381, 35491652, 32969546, 1084754, 272210, 16460626, 7885658, 1455454, 77158, 10315623, 10618219, 6090610, 18712446, 3029889, 771989, 1138582, 15990681, 19360, 16099746, 28061603, 2291108, 18808235, 18406838, 11508151, 16554426, 2786235, 1171391, 47056, 84945, 9636824, 102872, 18137050, 102875, 6903772, 506857, 10022895, 1384947, 25489397, 786933, 786938, 84987, 9198077]","[25344, 33]"
