file,paragraph_count,female_pronoun,male_pronoun,personal_pronoun,possessive_pronoun,preposition,colon,semi_colon,hyphen,interjection,sentence_length
100.txt,220555,5651,16984,77952,33323,83749,1810,17194,200,758,9.10207755507876
10000.txt,1265,56,247,649,505,2367,9,106,11,0,32.80600461893764
10002.txt,1190,200,274,4441,1072,7025,19,686,0,23,17.027364864864865
10005.txt,6204,263,1424,4692,2223,10267,205,764,0,13,31.96058661778185
10007.txt,833,572,372,2782,1069,3373,32,290,0,13,19.514265831593598
10012.txt,8000,24,451,2647,1339,14189,76,531,0,7,32.036409516943046
10029.txt,4872,531,1695,5255,1279,5990,8,265,0,129,14.370568373663478
10036.txt,1159,92,273,813,307,1754,23,61,0,12,14.53193832599119
1004.txt,29245,540,2183,8673,2950,15100,718,1697,0,22,27.536867469879518
10046.txt,7874,361,1852,8607,3035,11638,21,200,0,30,16.410961365678347
10052.txt,332,229,788,3798,1111,4467,42,381,0,46,20.722784057108864
10064.txt,16755,1673,5871,10258,5653,17655,643,889,0,72,18.97267263862116
10066.txt,3062,1188,3434,8255,2339,9801,105,565,0,92,12.189159975293391
10067.txt,6875,317,2355,8237,1399,7737,19,558,0,154,13.230738760150524
10071.txt,2600,252,454,930,716,4453,82,262,0,6,30.23971193415638
10083.txt,10146,1927,2713,11030,3795,13280,194,804,0,154,16.031927357937903
10084.txt,878,1083,3045,4777,2140,8371,16,53,0,18,15.326308311626805
10086.txt,1991,8,1711,6899,1897,12523,186,315,0,13,33.47974832874558
10095.txt,1901,633,2498,5238,2463,10363,111,415,0,39,17.98854190069647
101.txt,2040,127,877,3586,1295,11946,187,250,37,38,16.062663612565444
10101.txt,3482,274,2104,3509,995,4919,100,315,0,32,28.271323529411763
10102.txt,2716,1299,1963,9515,2623,11165,99,91,0,155,15.530024297119056
10109.txt,4702,341,1776,6762,2155,4925,8,28,0,92,11.35248518011856
10110.txt,2385,458,1690,5234,1330,7504,46,52,0,146,11.506935687263557
10119.txt,1672,179,983,2074,1047,6835,361,450,0,10,18.58531746031746
10122.txt,1530,19,89,493,170,822,40,83,0,13,17.34675615212528
10123.txt,5255,1393,1197,4948,1730,5013,49,242,0,83,13.264698197021165
10133.txt,2274,180,169,778,469,1272,98,148,0,24,11.187279151943462
10145.txt,2075,31,95,579,400,3134,119,151,0,0,26.740409207161125
10149.txt,3143,1553,2700,10247,4200,20658,34,1524,5,84,24.40860895711347
1015.txt,1135,228,3276,8040,3728,18993,45,1325,0,29,24.973289140183272
10150.txt,900,631,1869,4632,1630,7675,160,299,0,23,19.555594283722552
10165.txt,14793,1927,1170,10722,4628,23452,97,1251,30,49,27.231374518667337
1017.txt,70,8,258,863,217,1884,9,55,0,4,17.753712871287128
1018.txt,1635,711,2442,6062,1366,8076,265,1275,43,42,30.875343721356554
1019.txt,756,271,205,1551,1001,3011,155,839,0,63,21.048076923076923
102.txt,1528,668,1751,4866,1332,5982,128,497,1,52,22.901851054670683
1020.txt,645,236,582,1880,994,2978,46,95,0,28,13.490266393442623
1021.txt,634,72,169,803,477,1954,98,41,0,18,16.141346153846154
1022.txt,111,17,122,712,284,1637,10,73,0,3,24.510245901639344
10221.txt,7818,1842,2173,7954,2547,9520,107,255,0,57,18.202086049543677
10226.txt,3069,1312,2953,10046,2378,9828,70,271,0,116,17.154276887430004
1023.txt,7923,4236,10000,34856,11886,43357,60,1385,0,634,16.70438273993808
1024.txt,2488,427,3278,12739,3449,17062,421,2574,0,72,22.99086226947998
1026.txt,674,297,837,4393,968,4571,504,247,0,66,20.415084915084915
10268.txt,4743,993,276,5303,1075,4729,44,534,0,190,15.34318766066838
1027.txt,2505,677,4280,8892,2375,10485,27,271,0,73,12.973097826086956
1028.txt,1517,2024,1312,8142,3196,10692,253,2187,0,42,33.118683001531394
103.txt,2015,256,2013,3456,1441,7938,50,611,1,66,16.999452654625067
10316.txt,4159,9,1754,7057,549,4669,25,251,0,166,13.715412621359222
1032.txt,286,172,784,1778,481,2266,54,128,0,14,25.60624071322437
10324.txt,4762,123,2817,4875,1388,6472,3,170,0,27,13.46881496881497
1033.txt,572,475,725,1859,702,3451,26,236,0,15,28.856107660455486
10337.txt,337,1012,1541,2595,1097,3218,42,33,0,15,26.68640350877193
10338.txt,280,43,205,1054,443,2598,15,97,0,2,22.745247148288975
10339.txt,2473,140,1577,5112,1707,10685,74,312,0,118,22.27727013135351
10345.txt,11161,626,1204,7259,2479,15698,99,1553,7,45,30.89059080962801
1036.txt,2071,1035,1915,8287,1579,9829,168,515,0,59,20.290891283055828
10361.txt,298,1,211,1957,677,6100,29,247,0,0,39.51232583065381
10363.txt,3497,973,3255,6791,4370,19480,48,746,2,29,19.426618303571427
10371.txt,6953,1474,2378,9392,2363,8393,10,34,0,68,11.449161836127212
10376.txt,2849,562,575,2507,1678,4135,41,63,0,41,14.77659574468085
10377.txt,4184,697,1584,3860,1483,5451,43,672,0,95,21.72591522157996
10379.txt,13476,4067,5092,16831,5008,17563,417,1824,0,504,16.395875591615958
10390.txt,196,3,168,1577,584,4753,44,224,0,0,39.47957839262187
10393.txt,172,76,39,608,165,727,5,69,0,1,16.51794871794872
10394.txt,790,193,2270,3294,1372,7051,38,109,0,20,27.66321243523316
10402.txt,5673,998,2466,5305,1595,6476,28,920,0,85,11.789397689768977
1041.txt,2323,78,179,995,671,1975,174,301,0,29,31.467625899280577
10422.txt,4526,369,1688,4363,1207,5757,54,233,0,29,13.100277777777778
10429.txt,1842,1373,881,4279,1132,3622,119,30,0,135,9.345707656612529
1044.txt,349,54,271,1588,283,1722,9,133,0,21,23.318611987381704
10440.txt,1880,435,1958,4766,1497,7645,56,176,0,105,13.48327868852459
10441.txt,2257,1271,1277,5605,1283,5099,110,527,0,133,13.216081790549875
10444.txt,7991,79,991,2944,1246,13335,80,260,0,0,32.3967434471803
10447.txt,2574,86,358,1519,597,3485,43,115,0,26,22.907808090310443
1045.txt,35,275,336,700,434,988,125,260,0,13,29.316109422492403
10458.txt,2435,665,933,1692,945,3278,53,286,0,19,18.665144596651444
10460.txt,6547,94,533,2597,752,2653,72,418,0,53,29.181616832779625
10465.txt,4048,690,417,4063,755,4114,40,45,0,168,10.351387054161162
10466.txt,2457,940,600,3074,717,2736,24,149,0,54,14.502157497303129
10469.txt,327,0,6,9,4,27,2,0,0,0,16.833333333333332
10477.txt,938,46,1924,3143,1709,11263,84,819,0,2,24.71647509578544
1049.txt,1574,302,862,5361,1754,8881,146,490,0,66,21.218089854210056
10490.txt,3915,126,344,1607,798,3469,24,283,0,35,11.794514767932489
105.txt,1194,2146,1922,6986,2417,10142,130,1320,1,122,22.73555981385163
1050.txt,360,102,375,1052,445,2079,119,120,0,15,17.656
10523.txt,3922,232,325,1078,495,1858,61,217,0,34,10.633089133089133
10534.txt,6775,800,1757,8233,2209,8082,10,37,0,46,11.47588894301023
10540.txt,6825,1360,1245,5866,1948,8196,66,574,0,100,19.017287234042552
10547.txt,813,111,705,1786,761,5563,68,84,1,47,20.682294264339152
10556.txt,1564,682,2386,4388,1679,9018,85,299,0,33,21.60784939374601
10557.txt,315,1,3,8,5,26,3,6,0,0,20.266666666666666
1056.txt,2333,2094,6868,14721,3996,17173,88,448,41,100,17.56639083386378
10578.txt,16852,521,857,2879,1661,6990,275,1603,0,63,21.3578506097561
1058.txt,919,485,1106,2988,1823,9487,95,262,0,23,24.35073409461664
10601.txt,7450,502,3363,7614,1979,9242,54,124,0,58,11.548127936941034
10607.txt,4733,146,259,1132,383,1162,16,297,0,31,18.837775202780996
10613.txt,422,37,724,1741,627,6432,32,139,0,2,25.649970536240424
10619.txt,453,114,752,2509,1069,8131,11,333,0,2,35.807983482450105
1062.txt,316,0,112,390,144,757,5,59,0,5,19.124161073825505
10624.txt,1234,390,2489,5468,2005,8879,34,312,2,40,19.857662023016353
10628.txt,682,540,1123,4014,1242,4230,5,866,0,18,28.33151326053042
1063.txt,101,0,64,276,75,278,1,25,0,8,9.917748917748918
1064.txt,27,0,34,57,36,354,0,18,0,0,23.30392156862745
1065.txt,121,0,14,59,36,124,1,15,0,0,26.615384615384617
10657.txt,14110,33,5151,8071,4403,24244,529,2068,1,8,38.421666261841146
10658.txt,2441,4467,1846,9827,2895,13052,406,552,0,255,13.410148798168638
1066.txt,436,62,2045,2253,1424,8621,7,528,1,1,21.872283644681662
10662.txt,15119,3740,336,16084,4233,27579,17,5271,0,6,38.87800516590503
10665.txt,8275,1992,1159,7615,3199,11422,180,478,0,34,24.419708029197082
10669.txt,1433,268,1560,6880,2443,22673,415,2027,24,23,31.08089464882943
1067.txt,10941,33,1840,5942,2553,19521,87,538,0,15,22.283513369930937
10676.txt,2795,744,3977,7379,3184,15205,266,196,0,88,25.413892587660897
10679.txt,200,42,232,466,245,1339,20,44,0,1,21.582926829268292
1068.txt,14076,34,3386,7357,3013,22643,186,545,0,9,22.684354986276304
10681.txt,11769,19,106,1050,298,14501,54,32995,7,58,11.514000246700382
10684.txt,503,46,746,1993,803,8011,55,269,0,1,25.65661478599222
1069.txt,3913,6291,6165,17067,6247,26408,601,1073,0,436,18.47540258361352
10692.txt,16128,129,5107,6550,4235,25660,328,1308,0,30,26.460628695922814
10707.txt,202,5,133,388,114,575,7,6,0,4,14.262108262108262
10712.txt,2995,145,2898,6953,3674,19680,96,1979,0,77,21.533375816472837
10720.txt,1982,3632,4559,10888,3942,15516,254,1094,0,154,22.35824548192771
10723.txt,836,476,645,2011,759,3409,57,237,0,44,20.85287356321839
10735.txt,507,166,873,1326,473,2428,35,94,0,21,18.58846529814272
10736.txt,1157,518,1449,3659,1507,5888,20,183,0,24,14.927234299516908
10739.txt,2843,3,660,1804,555,4803,101,379,0,6,28.106890459363957
1074.txt,2253,970,2414,10839,2972,13107,63,363,0,71,17.40205502154458
10740.txt,1793,5,257,851,353,2295,9,244,0,0,29.58823529411765
10741.txt,3418,37,826,1915,707,5522,190,539,0,3,31.88776371308017
10743.txt,6535,340,1782,6884,1662,11005,102,750,0,23,32.10066588327458
10745.txt,2843,1002,5293,10286,2667,17453,767,591,0,52,25.717395769151775
10749.txt,149,2,14,23,16,82,1,15,0,0,17.88235294117647
1076.txt,760,233,2856,3245,1856,11826,61,286,0,10,50.17813504823151
10760.txt,708,65,835,3609,893,6413,75,389,0,63,21.140774487471525
10762.txt,357,161,1405,3018,1658,8627,131,364,1,14,38.77181208053691
10771.txt,1282,127,330,688,284,1375,14,39,0,2,18.432646592709983
10772.txt,1197,46,952,3480,1526,13635,89,218,0,1,22.2262389274599
10777.txt,646,520,832,2800,672,2097,31,133,0,28,16.57431906614786
1079.txt,4972,819,4858,10766,7090,24612,623,2051,0,45,40.94534606205251
108.txt,2682,645,3128,11264,3330,13893,66,47,0,166,18.786784741144412
1080.txt,381,3,16,154,93,510,16,25,0,0,50.044117647058826
10800.txt,57865,2224,10456,25095,10384,57214,3208,6057,0,42,13.184400020142002
10806.txt,2959,182,624,1806,766,4710,98,223,0,7,25.844961240310077
1083.txt,1708,2217,2055,11041,3309,14634,300,379,0,189,16.390139335476956
10830.txt,139,183,24,272,155,454,6,47,0,3,25.895705521472394
10832.txt,810,161,844,5153,942,7073,54,586,0,23,20.405602455871065
10834.txt,164,3,9,83,38,339,37,26,0,0,21.455357142857142
10855.txt,2454,1,127,734,348,4143,40,99,0,0,32.5625
10856.txt,4964,20,386,1642,1347,8602,57,219,0,11,31.80789946140036
1086.txt,641,520,356,2120,454,1740,36,272,0,30,21.552926525529266
10865.txt,1441,486,1531,4680,1760,14263,251,753,0,18,25.79295958279009
10866.txt,10569,1947,3556,7477,3954,17658,279,1080,0,11,30.38607283464567
10869.txt,7698,660,2910,8492,2107,8638,114,69,0,41,10.123856252486407
10880.txt,2535,335,1006,3189,876,2729,13,259,0,32,14.095548317046688
