file,punc_subord_conj,quotes,number_of_chars,cord_conj,comma,period,flesch_reading_score,type_token_ratio
100.txt,27539,57,2853,37282,82412,76447,197.59642315139465,0.03237605717209698
10000.txt,270,11,29,931,1335,432,173.48330446700533,0.10158394931362197
10002.txt,2205,41,6,2106,6358,2761,189.55256756756756,0.10373015873015873
10005.txt,1814,217,39,3241,7121,2036,174.39500458295143,0.11141701798158823
10007.txt,879,210,23,1321,2603,1285,187.02802018093251,0.14966835461094072
10012.txt,2298,61,144,4671,7690,2731,174.2898510265089,0.09708781563667462
10029.txt,1543,1173,40,1560,3381,3131,192.23727793303044,0.09165312395982221
10036.txt,393,141,81,486,1237,795,192.08508259911895,0.30056839712012123
1004.txt,3371,569,332,5297,10398,3507,178.88211831819132,0.10050928437669543
10046.txt,3273,657,93,4514,6263,5162,190.1778742138365,0.09632419766334162
10052.txt,1087,5,10,1376,3044,1490,185.6653730337641,0.11333429022534806
10064.txt,4967,2561,159,11948,20226,5043,187.57773727179955,0.05255797274683242
10066.txt,2359,1338,50,3226,4475,5218,194.45228521752438,0.0832309309956041
10067.txt,2317,1649,62,2568,5675,4068,193.38047157547066,0.0836202508906919
10071.txt,647,165,96,1567,1721,894,176.1244229689427,0.21311196543394686
10083.txt,3047,1016,55,4749,6876,5645,190.55887813545328,0.07106381035034029
10084.txt,1810,217,45,3372,3284,4000,191.2670330848968,0.07698963274261082
10086.txt,2034,573,69,2442,5837,2208,172.85305544632325,0.06674966818966631
10095.txt,2559,1061,68,3449,6854,3494,188.57391612364268,0.1413476550302879
101.txt,3149,1030,462,4099,7156,5827,190.53139643324607,0.12518461930226635
10101.txt,997,160,12,2494,3072,1110,178.13960661764708,0.10268147416057635
10102.txt,2855,1376,124,3479,6907,4612,191.07202533842417,0.08318805596531223
10109.txt,1632,1094,25,1886,4428,3616,195.31222754217967,0.10069890745501285
10110.txt,2191,1286,94,2097,5246,4638,195.14883796822986,0.12439921722113503
10119.txt,1374,20,165,2239,3991,2355,187.9622736556538,0.14621855916641757
10122.txt,240,34,35,486,821,288,189.17349001655492,0.34923910239876194
10123.txt,1742,1228,80,2525,4363,3219,193.34159832376798,0.10621909658609617
10133.txt,396,22,42,588,1311,613,195.4197884769492,0.306538218572331
10145.txt,524,129,66,1009,1434,760,179.69073669764833,0.2035868005738881
10149.txt,4788,1724,217,5817,16481,5165,182.0556465712135,0.07069037060089732
1015.txt,3900,8,72,6150,9712,5022,181.4666365367668,0.07704078446068328
10150.txt,1693,15,62,2725,3589,2301,186.98607180202163,0.11275287407539435
10165.txt,4445,816,17,7554,12727,5491,179.19515486355266,0.07227041616201361
1017.txt,396,16,12,695,1053,784,188.81498143564357,0.1688393168351342
1018.txt,1596,6,92,5251,6543,1942,175.47266683827507,0.09009945079412202
1019.txt,981,54,32,1660,3624,923,185.43807525075428,0.1713437316452392
102.txt,1378,20,74,2693,3697,2048,183.56258785306804,0.12274205372079472
1020.txt,952,96,82,1356,2411,1584,193.14237961065575,0.21315459689363156
1021.txt,543,77,77,811,1555,933,190.23579330417292,0.2578934826641249
1022.txt,321,23,13,616,905,447,181.93588144821078,0.24613326644929354
10221.txt,2520,726,96,3383,6538,4024,188.31645453851843,0.09194661318434687
10226.txt,2991,756,136,4795,7168,4731,189.42055220231927,0.0687062425429414
1023.txt,9845,4661,289,15734,29559,16035,189.86290186053702,0.04594092895431102
1024.txt,4145,91,223,6853,11523,5508,183.49927479647783,0.09067653307511092
1026.txt,1235,40,102,1661,3081,1876,186.11419580419582,0.10734034744311231
10268.txt,1660,1244,89,2382,4687,2556,191.2616645244216,0.10329228449359136
1027.txt,2628,46,82,3432,6448,6920,193.6203460701505,0.08064347206803377
1028.txt,1928,38,68,3960,7824,2233,173.21855878659943,0.11322914017524796
103.txt,2096,845,107,2449,5979,2944,189.56148800452203,0.11687809904050486
10316.txt,1436,808,89,1903,3237,2759,192.9138561893204,0.07167190195991682
1032.txt,427,1,9,579,963,617,180.75630033051934,0.17820460743921546
10324.txt,1461,576,35,2151,3073,3196,193.1510942282782,0.10459597128965038
1033.txt,737,22,47,1221,2264,854,177.50356103853903,0.17782959641255605
10337.txt,632,33,17,1375,1585,836,179.60230651962206,0.13407017832196566
10338.txt,505,47,42,714,1110,749,183.7485741444867,0.2107990638582414
10339.txt,2312,13,88,2751,6328,2915,184.2235708166762,0.08862398256745498
10345.txt,2897,403,157,5120,9926,3309,175.48105032822758,0.09356626762059927
1036.txt,2305,1125,108,4604,5880,3813,186.23974534769835,0.07590384708210648
10361.txt,678,72,29,1323,1597,888,166.7162201241487,0.09420859894208598
10363.txt,4594,1669,136,5111,11366,5523,187.116982421875,0.0696229802513465
10371.txt,2336,1447,74,2080,5823,5330,195.2141007363309,0.08760262725779967
10376.txt,1028,133,11,918,1847,1955,191.83675531914895,0.16624409177700566
10377.txt,1440,450,40,2340,5530,1777,184.76256327622323,0.12478105669245948
10379.txt,4516,1887,107,6891,11792,6758,190.1931862745098,0.06059918761211571
10390.txt,570,43,7,1177,1471,737,166.7632279314888,0.11306524278324712
10393.txt,173,31,12,324,303,350,190.06928205128207,0.23641726171996275
10394.txt,1214,221,111,2162,3566,1489,178.75683937823834,0.11079894278995234
10402.txt,1862,975,37,1746,3629,3627,194.8687613448845,0.1270754964570029
1041.txt,451,0,8,824,1800,360,174.85184119371172,0.19467306812985824
10422.txt,1333,523,47,1686,2778,2662,193.53821805555557,0.13901316765971883
10429.txt,1165,1243,43,1335,3133,3166,197.32577008504276,0.12352421935341498
1044.txt,407,5,22,844,1210,554,183.12082961202836,0.1617965367965368
10440.txt,1399,1328,180,2356,3451,3295,193.12637875846391,0.13316041176947394
10441.txt,1494,1145,70,1819,3794,2481,193.33400571620538,0.13640260093248865
10444.txt,1411,134,119,3128,3856,2418,173.94233754727992,0.07146885036899012
10447.txt,697,179,49,1188,2253,850,183.57662640839158,0.19748675619071085
1045.txt,234,1,3,500,1088,212,177.02652063134906,0.27547952306894763
10458.txt,827,46,23,1198,1957,1126,187.7001611994155,0.19917638424529072
10460.txt,640,66,48,1138,1646,698,177.17071185389608,0.13904595651018936
10465.txt,1324,1391,52,1382,3352,2787,196.28947537126686,0.11245533435426237
10466.txt,773,487,21,1406,2000,1497,192.11531014023734,0.11745453192992897
10469.txt,3,2,6,18,3,14,189.74916666666667,0.5313531353135313
10477.txt,2348,228,162,4427,6554,3032,181.7385899874167,0.10949489730009043
1049.txt,2239,404,176,3888,5960,2999,185.2986387979768,0.10530891550046274
10490.txt,828,17,91,1566,2798,1294,194.84540845785293,0.1904625621579079
105.txt,2172,352,89,3809,7026,3119,183.7584067889406,0.07182160788893839
1050.txt,360,57,53,644,859,729,188.83749484367922,0.2271991714674089
10523.txt,586,35,26,847,1472,1307,196.0430341880342,0.19384474046853467
10534.txt,2212,1624,72,1976,5442,5249,195.17500328311627,0.08982739105829089
10540.txt,2132,896,123,3450,5436,2628,187.49459316795657,0.1094748618977694
10547.txt,1056,7,87,1442,2828,1816,185.84297755610973,0.1224829382400463
10556.txt,1947,287,210,2493,5403,2763,184.9030328653478,0.09428668468229005
10557.txt,6,2,3,20,6,10,186.26433333333335,0.6052631578947368
1056.txt,4238,74,111,7162,10384,7533,188.9989821579882,0.08186456400742115
10578.txt,1737,82,47,2846,5972,1957,185.15678163109757,0.12543939475045948
1058.txt,1499,5,47,2272,4424,2335,182.10908662505545,0.1357607020834729
10601.txt,2396,1301,55,2712,4984,5353,195.09921385244374,0.08454642111757216
10607.txt,457,99,196,688,2129,536,187.6782307840509,0.18072215045826412
10613.txt,1184,84,92,1726,3983,1676,180.80027990571597,0.1397031795625804
10619.txt,1334,102,34,2050,5607,1434,170.4919924294563,0.1467151039864683
1062.txt,149,1,2,302,432,257,187.42397651006712,0.30479031409019125
10624.txt,1893,537,23,3272,5045,3009,186.67173170151105,0.10129632453866097
10628.txt,933,9,43,2020,3091,1051,178.07851404056163,0.12009581233996862
1063.txt,75,51,2,79,156,177,196.76848484848486,0.3592317765168049
1064.txt,59,4,1,157,171,100,182.96797312067443,0.3622212873369794
1065.txt,26,20,2,55,102,23,179.73888172521123,0.4489402697495183
10657.txt,3627,102,384,7416,15907,4048,167.83700874423124,0.06211831940423057
10658.txt,3394,1289,117,4815,7348,5951,193.22369896985884,0.09018056978111605
1066.txt,1687,0,111,2293,3049,2609,184.63463210064813,0.08791898345854177
10662.txt,4561,24,83,16547,14637,4775,167.3738247566064,0.03129711304063412
10665.txt,2444,175,115,2826,6379,3016,182.00190757083254,0.09583702187834124
10669.txt,3664,425,300,8069,14939,4475,175.28789193143814,0.09021393359382882
1067.txt,3519,115,236,5000,7199,5633,184.21723392952012,0.0629713513728295
10676.txt,3102,18,193,4699,9967,3725,181.01574472689427,0.10039820458633879
10679.txt,246,27,5,497,597,369,184.92832926829269,0.24714657023392475
1068.txt,4227,77,330,5983,9995,6541,183.81037968892957,0.04994487913742572
10681.txt,4705,5,206,13603,56130,16030,195.15107655118624,0.2154595480873819
10684.txt,1308,8,130,2166,3443,2002,180.7935359922179,0.1265781990521327
1069.txt,6109,51,134,7883,13297,9633,188.07922513803052,0.06217643875503451
10692.txt,4640,458,265,7193,14279,6154,179.97746187363836,0.05951680820532122
10707.txt,133,88,9,216,337,322,192.3589601139601,0.3106272473032361
10712.txt,4170,706,187,5631,13390,5091,184.9786235462801,0.10516035956053713
10720.txt,3637,2,60,4216,11081,4598,184.12286053980156,0.07188023609251729
10723.txt,780,232,67,1502,2290,1054,185.6701111111111,0.16525797442304865
10735.txt,557,214,47,1022,1551,853,187.92321887089167,0.16964661337820783
10736.txt,1770,608,53,3494,4376,2842,191.60000840264118,0.11395861566779264
