good_bid,index_bid
9542963,0
11842413,1
18996330,2
836116,3
108014,4
9334678,5
18334397,6
1386631,7
780875,8
193601,9
29007653,10
132596,11
10887641,12
1068963,13
17352566,14
752984,15
6474485,16
24820420,17
288840,18
23182227,19
65832,20
2968207,21
37705,22
1052042,23
33509754,24
18945048,25
1173087,26
22814921,27
502868,28
32872097,29
12694261,30
18819315,31
20122872,32
298648,33
2624143,34
12446508,35
2230915,36
10846264,37
494166,38
17925892,39
12389442,40
3729484,41
3158396,42
376974,43
26589016,44
19945405,45
965748,46
22514770,47
1146398,48
18819321,49
494163,50
2480335,51
613597,52
107188,53
25844039,54
3166402,55
1719913,56
2168651,57
61182,58
2668626,59
21025194,60
23121728,61
640380,62
537430,63
18880798,64
7445682,65
210295,66
954455,67
6719180,68
29578891,69
509037,70
19404958,71
3155831,72
2545558,73
8268107,74
10532,75
19416907,76
1656262,77
22070742,78
6324757,79
8660,80
8223454,81
8067423,82
924215,83
713868,84
148905,85
18746840,86
35410870,87
18626880,88
29514,89
9746148,90
10460295,91
4962141,92
1178023,93
24357337,94
12574502,95
3209316,96
4906553,97
15828826,98
3231779,99
2544136,100
26164627,101
1817436,102
9066731,103
23161483,104
777106,105
398203,106
165519,107
17160055,108
1221719,109
1775164,110
856226,111
7231355,112
6418457,113
6403629,114
2435435,115
890368,116
412794,117
13452712,118
27869748,119
8267998,120
214528,121
15993087,122
1841075,123
22734518,124
20427793,125
420031,126
962252,127
1697368,128
33852156,129
18270638,130
33139484,131
19077834,132
4683101,133
10836221,134
25826173,135
1607895,136
18420587,137
22707031,138
820905,139
29833260,140
1970451,141
2194818,142
10468789,143
4058269,144
6077491,145
11881251,146
6157648,147
18336987,148
805271,149
8735025,150
581169,151
6105857,152
956146,153
19092863,154
7312371,155
525822,156
18619523,157
12848145,158
11084641,159
2987656,160
1126161,161
12225014,162
1213805,163
65762,164
11806753,165
7296920,166
10112488,167
8745495,168
2239187,169
10198522,170
11130136,171
7141540,172
8877355,173
2043784,174
722197,175
2282584,176
1739133,177
10516456,178
1901009,179
22631303,180
2150464,181
29570270,182
28878226,183
6038904,184
967432,185
395130,186
5619377,187
8354620,188
1740624,189
7557403,190
31874635,191
6986198,192
9079372,193
7111348,194
1907841,195
3029319,196
6322878,197
17832077,198
1305387,199
421442,200
11511572,201
641271,202
19389879,203
20576830,204
7000170,205
10081671,206
9985390,207
223123,208
25904376,209
31414059,210
21454736,211
15717174,212
830128,213
18891343,214
8224298,215
1580516,216
4011331,217
24823169,218
1225186,219
15845351,220
19419143,221
1954804,222
19230920,223
23838169,224
10376402,225
10756338,226
15796930,227
18405676,228
14337224,229
18931171,230
26535163,231
13507292,232
19079835,233
